"Name","Symbol","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time"
"Nasdaq 100",".NDX","13,603.96","13,592.77","13,642.96","13,527.81","+43.06","+0.32%","172,467,356","06/02"
"Dow Jones Industrial Average",".DJI","31,148.24","31,093.81","31,252.18","31,083.22","+92.38","+0.30%","295,001,306","06/02"
"CBOE Volatility Index","VIX","21.75","22.00","22.00","21.71","+0.88","+4.22%","-","18:19:03"
