Client Type,Todays Date,Future Index Long  ,Future Index Short ,Future Stock Long ,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,FII_Stat,FII_Buy_Stat,FII_Sell_Stat
Pro,18-12-2020,51.15414049,48.84585951,65.39561287,34.60438713,44.21929559,48.92479801,55.78070441,51.07520199,28.97400148,55.48280326,71.02599852,44.51719674,46.87754309,53.12245691,FII STOCK OPT,49.80281889,50.19718409
Client,21-Dec-20,44.16405535,55.83594465,78.07261527,21.92738473,53.20244085,45.39009279,46.79755915,54.60990721,61.37610635,43.30171999,38.62389365,56.69828001,54.25137745,45.74862255,FII INDEX FUT,49.04139638,50.95860362
DII,21-Dec-20,4.934067841,95.06593216,3.710345121,96.28965488,99.62686567,99.99813046,0.373134328,0.001869543,14.55918037,50,85.44081963,50,9.875039167,90.12496083,FII INDEX OPT,50.05296469,49.94703531
FII,21-Dec-20,67.29420879,32.70579121,56.05304978,43.94695022,56.50749244,58.57915106,43.49250756,41.42084894,39.57058712,53.22541856,60.42941288,46.77458144,56.95084649,43.04915351,FII STOCK FUT,51.69204473,48.30795527
Pro,21-Dec-20,62.43319128,37.56680872,66.04984195,33.95015805,37.90906286,52.0946703,62.09093714,47.9053297,27.28142285,58.95023643,72.71857715,41.04976357,45.7989696,54.2010304,FII STOCK OPT,49.70989525,50.29010177
Client,22-Dec-20,42.70580662,57.29419338,78.75295855,21.24704145,52.30645051,47.82903019,47.69354949,52.17096981,60.99273522,45.47291172,39.00726478,54.52708828,54.51492771,45.48507229,FII INDEX FUT,52.77848244,47.22152054
DII,22-Dec-20,5.10411437,94.89588563,3.575900275,96.42409973,99.62686567,99.99813046,0.373134328,0.001869543,14.55918037,50,85.44081963,50,9.71590533,90.28409467,FII INDEX OPT,50.07148981,49.92850721
FII,22-Dec-20,69.10143313,30.89856687,56.72185508,43.27814492,58.21230613,58.86056349,41.78769387,41.13943651,40.71158003,51.07772577,59.28841997,48.92227423,57.79495566,42.20504434,FII STOCK FUT,51.72391534,48.27608466
Pro,22-Dec-20,58.45353035,41.54646965,63.68926922,36.31073078,38.30760272,45.56188096,61.69239728,54.43811904,27.40255617,56.57258683,72.59744383,43.42741317,43.95620284,56.04379716,FII STOCK OPT,49.87992644,50.12007356
Client,24-Dec-20,45.78845815,54.21154185,78.14721518,21.85278482,48.94376415,47.17368253,51.05623585,52.82631747,60.04505865,46.94217866,39.95494135,53.05782134,54.66950595,45.33049405,FII INDEX FUT,56.4971745,43.5028255
DII,24-Dec-20,5.703843895,94.29615611,3.561012362,96.43898764,99.72826087,99.99814088,0.27173913,0.001859116,14.55918037,50,85.44081963,50,9.754821271,90.24517873,FII INDEX OPT,50.05369186,49.94630814
FII,24-Dec-20,67.9374395,32.0625605,56.82327237,43.17672763,59.99678982,58.9077928,40.00321018,41.0922072,40.66499538,50.49621928,59.33500462,49.50378072,57.93818699,42.06181301,FII STOCK FUT,50.04470348,49.95529652
Pro,24-Dec-20,52.60761431,47.39238569,61.84253652,38.15746348,43.92533801,45.28624444,56.07466199,54.71375556,29.56133987,54.89204386,70.43866013,45.10795614,45.76463258,54.23536742,FII STOCK OPT,49.69902337,50.30097961
Client,28-Dec-20,45.77390812,54.22609188,79.16962507,20.83037493,50.04964467,48.03176675,49.95035533,51.96823325,59.55670048,47.81191978,40.44329952,52.18808022,54.31208297,45.68791703,FII INDEX FUT,52.68657207,47.31342494
DII,28-Dec-20,5.769152196,94.2308478,3.441972173,96.55802783,99.72826087,99.9981512,0.27173913,0.001848805,14.55918037,50,85.44081963,50,9.646928824,90.35307118,FII INDEX OPT,50.40688515,49.59311187
FII,28-Dec-20,67.78428612,32.21571388,56.34910184,43.65089816,59.46226937,60.02092625,40.53773063,39.97907375,41.12181833,51.17503461,58.87818167,48.82496539,58.01685576,41.98314424,FII STOCK FUT,49.19818938,50.80180764
Pro,28-Dec-20,50.98039216,49.01960784,61.05397188,38.94602812,42.21353122,44.22318027,57.78646878,55.77681973,30.73543429,53.42146499,69.26456571,46.57853501,44.87336011,55.12663989,FII STOCK OPT,50.65656304,49.34343696
Client,29-Dec-2020,44.887727257783474,55.112272742216526,80.23499629833066,19.765003701669333,50.830698048733105,48.18012654732946,49.16930195126689,51.81987345267055,59.359703855803225,47.78794161713867,40.640296144196775,52.21205838286133,54.32049958007792,45.67950041992208,FII INDEX FUT,48.653292655944824,51.346707344055176
DII,29-Dec-2020,6.093416098504122,93.90658390149588,3.334398914412093,96.66560108558791,99.72826086956522,99.99809661578286,0.2717391304347826,0.0019033842171380713,14.559180372067942,50.0,85.44081962793206,50.0,9.401217446938782,90.59878255306121,FII INDEX OPT,50.00308156013489,49.99692142009735
FII,29-Dec-2020,66.87082842559875,33.129171574401255,55.96091442335006,44.03908557664994,58.02176999526739,59.22156744995804,41.97823000473261,40.77843255004196,38.28152145032395,49.524321718005304,61.71847854967605,50.475678281994696,57.32753216776252,42.67246783223747,FII STOCK FUT,49.48003888130188,50.51996111869812
Pro,29-Dec-2020,55.92340002709905,44.07659997290095,60.228766208665704,39.771233791334296,41.22875310446867,45.02932490329022,58.77124689553133,54.97067509670978,31.878665961912482,53.79219577102196,68.12133403808751,46.20780422897804,45.11323977392343,54.88676022607657,FII STOCK OPT,48.50285053253174,51.49714946746826
Client,30-Dec-2020,44.7004626643414,55.2995373356586,80.96753128145008,19.03246871854992,50.94621869605965,48.545390566853136,49.05378130394034,51.45460943314686,58.70448955132359,46.77009376503585,41.29551044867641,53.229906234964155,54.06694448194526,45.93305551805474,FII INDEX FUT,48.128530383110046,51.871466636657715
DII,30-Dec-2020,5.74953901683079,94.25046098316922,3.1727611347648543,96.82723886523515,99.72826086956522,99.99816607981221,0.2717391304347826,0.0018339201877934272,12.939560439560442,50.0,87.06043956043956,50.0,9.330951899530453,90.66904810046955,FII INDEX OPT,50.19229054450989,49.80770945549011
FII,30-Dec-2020,63.40188438616824,36.59811561383176,56.1602761618204,43.839723838179594,59.38751722369982,59.48890885033764,40.61248277630019,40.511091149662356,37.04087144400432,48.402004562915586,62.95912855599568,51.59799543708441,57.616269476641655,42.383730523358345,FII STOCK FUT,50.18741488456726,49.81258809566498
Pro,30-Dec-2020,61.26370242640719,38.73629757359281,60.88096236001736,39.11903763998264,40.06076677464495,43.841696948565264,59.939233225355046,56.158303051434736,34.51760605730045,55.28277960943444,65.48239394269955,44.71722039056556,45.23465329120657,54.76534670879343,FII STOCK OPT,49.463680386543274,50.53631663322449
Client,30-Dec-2020,44.7004626643414,55.2995373356586,80.96753128145008,19.03246871854992,50.94621869605965,48.545390566853136,49.05378130394034,51.45460943314686,58.70448955132359,46.77009376503585,41.29551044867641,53.229906234964155,54.06694448194526,45.93305551805474,FII INDEX FUT,48.128530383110046,51.871466636657715
DII,30-Dec-2020,5.74953901683079,94.25046098316922,3.1727611347648543,96.82723886523515,99.72826086956522,99.99816607981221,0.2717391304347826,0.0018339201877934272,12.939560439560442,50.0,87.06043956043956,50.0,9.330951899530453,90.66904810046955,FII INDEX OPT,50.19229054450989,49.80770945549011
FII,30-Dec-2020,63.40188438616824,36.59811561383176,56.1602761618204,43.839723838179594,59.38751722369982,59.48890885033764,40.61248277630019,40.511091149662356,37.04087144400432,48.402004562915586,62.95912855599568,51.59799543708441,57.616269476641655,42.383730523358345,FII STOCK FUT,50.18741488456726,49.81258809566498
Pro,30-Dec-2020,61.26370242640719,38.73629757359281,60.88096236001736,39.11903763998264,40.06076677464495,43.841696948565264,59.939233225355046,56.158303051434736,34.51760605730045,55.28277960943444,65.48239394269955,44.71722039056556,45.23465329120657,54.76534670879343,FII STOCK OPT,49.463680386543274,50.53631663322449
Client,31-Dec-2020,46.30483290666297,53.69516709333703,81.42155385224727,18.578446147752718,49.47039719920817,47.56832086959874,50.52960280079183,52.43167913040126,62.43198795405883,36.58047118339361,37.56801204594117,63.419528816606395,56.254852711056955,43.745147288943045,FII INDEX FUT,49.73413348197937,50.26586651802063
DII,31-Dec-2020,3.480927972992445,96.51907202700755,2.0991595254005886,97.90084047459942,99.72826086956522,99.99177766814668,0.2717391304347826,0.0082223318533136,99.6268656716418,50.0,0.3731343283582089,50.0,3.696821421178339,96.30317857882166,FII INDEX OPT,49.95034337043762,50.04965662956238
FII,31-Dec-2020,75.63684637510141,24.363153624898594,56.159209886003744,43.84079011399625,63.73586078309509,58.258828998024455,36.26413921690491,41.74117100197554,28.8818667963053,46.364798939042295,71.1181332036947,53.635201060957705,58.21777323108921,41.782226768910796,FII STOCK FUT,50.69286227226257,49.30713772773743
Pro,31-Dec-2020,41.27198590971602,58.72801409028398,70.45301800968178,29.546981990318212,44.184816877725815,50.49093208265971,55.81518312227418,49.509067917340296,26.685345325839855,70.90735162741424,73.31465467416015,29.09264837258576,50.53729305342208,49.46270694657792,FII STOCK OPT,54.68934178352356,45.3106552362442
